Date,Time,League,Home,Away,Diff_HT_P,Diff_Power,OU_Total,M_HT_H,M_HT_A,M_H,M_A,Odd_H,Odd_D,Odd_A
2025-08-19,05:30,NSW Premier League  ,St George Saints,Spirit FC,-14.299999999999999,-12.129999999999999,0.6075749472850593,0.6588995467296591,1.438616225466547,1.6728969697285643,2.009557616946745,3.75,4.0,1.67
2025-08-19,07:35,Chinese FA Cup  ,Chengdu Rongcheng FC,Henan Football Club,21.74,-9.060000000000002,0.37167252640735826,1.1784805969315524,-0.2232460345940182,-0.510002362448778,0.4739345982849726,1.5,4.33,5.75
2025-08-19,09:30,India Durand Cup,Shillong Lajong FC,Northeast United,3.75,-7.079999999999998,0.6963554419814157,1.1004196243332218,0.5807754952108234,0.9785088390569192,1.1049409614033736,6.0,4.2,1.42
2025-08-19,13:00,Norway Adeccoligaen  ,Lyn Oslo,Egersunds IK,-37.0,-40.0,0.2446310469477328,-0.3353196854534854,0.8364325188570743,-0.7877916208106136,1.1596089397793545,1.8,4.0,3.8
2025-08-19,16:00,Colombia Primera B  ,Atletico FC,Real Soacha Cundinamarca,-25.0,-29.549999999999997,0.3906199298549432,1.0306808601072488,1.455033372634351,-0.6582842383929662,0.4204695571769813,3.4,3.2,2.15
2025-08-19,18:00,Copa Sudamericana  ,CA Huracan,Deportiva Once Caldas,-5.029999999999996,16.109999999999996,0.3837197791561951,-0.810529274041456,-1.9716704801809921,-0.0920413117574058,-1.06601610827776,1.55,3.8,7.0
2025-08-19,18:00,Copa Libertadores  ,Velez Sarsfield,Fortaleza,-18.429999999999996,10.870000000000003,0.4135271420700136,-2.550890484804923,-0.5848797561166882,-1.8182696307152828,-1.0955503292067084,1.85,3.3,4.75
2025-08-19,18:00,Colombia Primera B  ,Barranquilla FC,Orsomarso,-16.25,-45.0,0.368072461568279,0.002346830705505552,1.0340390620896007,-1.816658799204568,2.192856106700634,2.6,3.1,2.7
2025-08-19,18:30,Brazil Serie B  ,Operario Ferroviario PR,Avai FC,3.0,7.0,0.9513990116085953,0.8853288693374505,-0.9547699967193563,-0.4822128334432502,-0.5246472689445909,2.05,3.1,3.9
2025-08-19,20:30,Copa Libertadores  ,Sao Paulo,Atletico Nacional Medellin,1.3000000000000007,2.490000000000002,0.5516205319195338,-0.6105981486315868,-0.8422432337290974,-0.2439149356983741,0.028997911044118706,1.83,3.3,5.0
2025-08-19,20:30,Copa Sudamericana  ,Mushuc Runa,Independiente del Valle,-33.78,-36.09,0.7151232024516968,-0.7165610322522825,1.391824479752616,-0.04329861774957828,1.3439032400013462,3.8,3.75,1.9
2025-08-19,20:30,Categoria Primera A  ,Independiente Santa Fe,Envigado FC,-31.9,-25.809999999999995,0.42955216421568165,-0.4728763842204344,2.0721998445461534,-0.8189555368545894,0.7233895545885514,1.5,4.0,7.0
2025-08-19,20:30,Copa Libertadores  ,Racing Club,CA Penarol,2.8000000000000043,-10.609999999999996,0.3287567019536819,1.1878651103659479,-0.43898283676564115,0.8776623895993979,0.7548809827261367,1.45,4.2,8.0
2025-08-19,20:30,Copa Sudamericana  ,Fluminense RJ,America de Cali,21.47,19.190000000000005,0.4989953164890483,-0.6352094578422602,-1.6959581727598134,0.39149437022186545,0.3069388386901655,1.6,3.8,6.0
